id,geoname,latitude,longitude,country
65 / 4435,Chiconauhtla,23.634501,-102.552784,Mexico
MCAA/ 0276,"Santiago Ahuitzotla, El Corral",23.634501,-102.552784,Mexico
MCAA/ 1033 K,El Arbolillo,23.634501,-102.552784,Mexico
MCAA/ 1041,"Tabasco, Comalcalco",23.634501,-102.552784,Mexico
MCAA/ 0300,San Juan Teotihuacán,23.634501,-102.552784,Mexico
MCAA/ 0856,Ticoman,23.634501,-102.552784,Mexico
MCAA/ 0978,"Nonoalco, Campo Cerro",23.634501,-102.552784,Mexico
30.3/ 2544,Chalco,23.634501,-102.552784,Mexico
MCAA/ 0268,Zacatenco,23.634501,-102.552784,Mexico
MCAA/ 0982,"Sinaloa, West Bank Of Rio Sinaloa",23.634501,-102.552784,Mexico
MCAE/ 0173,Oaxaca,23.634501,-102.552784,Mexico
MCAA/ 0047,"Oaxaca, Mitla",23.634501,-102.552784,Mexico
30.2/ 7846,"Veracruz, Pavon Site",23.634501,-102.552784,Mexico
30.1/ 5914,"Morelos, Cuernavaca, Gualupita",23.634501,-102.552784,Mexico
65 / 4135,San Salvador,13.794185,-88.89653,El Salvador
MCAA/ 0074,"Oaxaca, Cuilapa",23.634501,-102.552784,Mexico
T/25533,Valley Of Mexico,23.634501,-102.552784,Mexico
MCAA/ 1017,"Tamaulipas, Tampico, Las Flores",23.634501,-102.552784,Mexico
MCAA/ 0262,Aztahuacan,23.634501,-102.552784,Mexico
65 / 563,"Jalisco, Pueblo San Andrés De Camiata",23.634501,-102.552784,Mexico
MCAA/ 0067 H,"Oaxaca, Xoxocotlán",23.634501,-102.552784,Mexico
MCAA/ 0309,San Francisco Mazapan,23.634501,-102.552784,Mexico
MCAA/ 0119,"Oaxaca, Nochistlan",23.634501,-102.552784,Mexico
MCAA/ 0143,Teotihuacán,23.634501,-102.552784,Mexico
30.3/ 1586 B,Coclé,8.537981,-80.782127,Panama
MCAA/ 0364,Jerico,15.199999,-86.241905,Honduras
30.1/ 7740,"Santiago Ahuitzotla, El Corral, General",23.634501,-102.552784,Mexico
30.3/ 1859 A,Xico,23.634501,-102.552784,Mexico
30 / 5757,"Chihuahua, Rancho San Diego",23.634501,-102.552784,Mexico
30.0/ 1197,Peninsula Of Nicoya,9.748917,-83.753428,Costa Rica
MCAA/ 0301 C,"Puebla, Tepeaca",23.634501,-102.552784,Mexico
MCAA/ 0857,San Juan Teotihuacan,23.634501,-102.552784,Mexico
MCAA/ 0124,Calixtlahuaca,23.634501,-102.552784,Mexico
MCAA/ 0759 K,"Oaxaca, Ixtepec",23.634501,-102.552784,Mexico
K/15346,Mercedes,9.748917,-83.753428,Costa Rica
30 / 7439,Finca Pompeya,15.783471,-90.230759,Guatemala
30.2/ 8698,Atzcapotzalco,23.634501,-102.552784,Mexico
K/ 3597,Chiriqui,8.537981,-80.782127,Panama
MCAA/ 0623 J,Cholula,23.634501,-102.552784,Mexico
30 /11145,"Limon, Siquierres",9.748917,-83.753428,Costa Rica
MCAE/ 0097,Jalisco,23.634501,-102.552784,Mexico
30.1/ 2246,"Oaxaca, Nochistlán",23.634501,-102.552784,Mexico
MCAA/ 0163,Guerrero,23.634501,-102.552784,Mexico
30.2/ 7844,"Tamaulipas, Tancol",23.634501,-102.552784,Mexico
MCAA/ 0606 J,Veracruz,23.634501,-102.552784,Mexico
MCAA/ 0986,"Sonora, Huatabampo",23.634501,-102.552784,Mexico
MCAA/ 0108,"Oaxaca, Monte Alban",23.634501,-102.552784,Mexico
65 / 97 B,"Durango, San Francisco De Lajas",23.634501,-102.552784,Mexico
MCAA/ 0593 H,"Veracruz, Tabuco",23.634501,-102.552784,Mexico
65 / 3222,"Cartago, Cartago",9.748917,-83.753428,Costa Rica
65 / 4541,"Veracruz, Panuco",23.634501,-102.552784,Mexico
MCAA/ 0741 F,"Oaxaca, Mixtequilla",23.634501,-102.552784,Mexico
MCAE/ 0100,Colima,23.634501,-102.552784,Mexico
TL/ 68 1,Vera Cruz,23.634501,-102.552784,Mexico
MCAA/ 0159,"Guerrero, San Geronimo District",23.634501,-102.552784,Mexico
30 / 1546,"Guerrero, Mazela",23.634501,-102.552784,Mexico
30.2/ 7672,"Veracruz, Panuco, El Prisco",23.634501,-102.552784,Mexico
MCAA/ 0111,"Jalisco, Totoate, Ruin",23.634501,-102.552784,Mexico
30.2/ 7845,"Veracruz, Panuco, Pavon Site",23.634501,-102.552784,Mexico
MCAA/ 1024,"Puebla, Cholula",23.634501,-102.552784,Mexico
MCAA/ 1011,"Guerrero, Acapulco",23.634501,-102.552784,Mexico
30.0/ 4010,Salvador,13.794185,-88.89653,El Salvador
30.1/ 9475,San Cristobal Ecatepec,23.634501,-102.552784,Mexico
30 / 6217,San Simón,23.634501,-102.552784,Mexico
30.1/ 9493,"Hidalgo, Tula",23.634501,-102.552784,Mexico
M/ 367,"El Peten, Uaxactun",15.783471,-90.230759,Guatemala
30.1/ 1435,"Chiapas, Banks Of The Usumacintla River, Tecolpa",23.634501,-102.552784,Mexico
MCAA/ 0781,"Oaxaca, Boca Del Rio",23.634501,-102.552784,Mexico
DN/ 29 3,Yucatan,23.634501,-102.552784,Mexico
MCAA/ 0733 A27,"Chiapas, Paredon",23.634501,-102.552784,Mexico
65 / 3015,"Nayarít, Santa Teresa",23.634501,-102.552784,Mexico
30 / 3896,"Jalisco, Atoyac",23.634501,-102.552784,Mexico
30.0/ 7356,Coatepec,23.634501,-102.552784,Mexico
MCAE/ 0170,Quetzaltenango,15.783471,-90.230759,Guatemala
65 / 3455,"Morelos, Cuernavaca",23.634501,-102.552784,Mexico
30.3/ 854,Managua,12.865416,-85.207229,Nicaragua
65 / 5517,Chihuahua,23.634501,-102.552784,Mexico
K/ 3449,Nicoya,9.748917,-83.753428,Costa Rica
65 / 6161,San Blas Islands,8.537981,-80.782127,Panama
DM/ 1518,Texcoco,23.634501,-102.552784,Mexico
65 / 2084,"Jalisco, Tuxpan",23.634501,-102.552784,Mexico
MCAA/ 0038,"Michoacán, Tzintzuntzan",23.634501,-102.552784,Mexico
30 / 1684,"Guerrero, Quechomictipan",23.634501,-102.552784,Mexico
30 / 5970,"Jalisco, Hacienda Estanzuela",23.634501,-102.552784,Mexico
30.1/ 1498,Wild Cane Cay,17.189877,-88.49765,Belize
MCAA/ 0200,"Veracruz, Panuco, Vera Cruz",23.634501,-102.552784,Mexico
30.2/ 7611,"Veracruz, North Panuco",23.634501,-102.552784,Mexico
40 / 468,Volcano Turrialba,9.748917,-83.753428,Costa Rica
65 / 4428,Patuca River,15.199999,-86.241905,Honduras
65 / 4514 O,Northern Mexico,23.634501,-102.552784,Mexico
MCAA/ 0992,Huexotla,23.634501,-102.552784,Mexico
K/ 876,Rio General,9.748917,-83.753428,Costa Rica
30.2/ 4548 A,"Veracruz, Panuco, El Prisco Brickyard",23.634501,-102.552784,Mexico
30.1/ 9503,"Tlaxcala, Calpulalpan",23.634501,-102.552784,Mexico
30.2/ 2456,"Sinaloa, Culiacan, Chametla",23.634501,-102.552784,Mexico
MCAA/ 1036,Teotihuacan,23.634501,-102.552784,Mexico
30.2/ 3221,"Atzcapotzalco, Santiago Ahuitzotla, El Corral",23.634501,-102.552784,Mexico
MCAA/ 0117,"Jalisco, Totoate",23.634501,-102.552784,Mexico
MCAA/ 1034,"Guerrero, Coacoyula",23.634501,-102.552784,Mexico
30.1/ 5738,"San Juan Teotihuacán, Luz Y Fuerza Grounds",23.634501,-102.552784,Mexico
30.1/ 5993,"Papalotla, El Gavilan",23.634501,-102.552784,Mexico
30.2/ 3759,"Guerrero, Cerro Ceron",23.634501,-102.552784,Mexico
65 / 1255,"Chihuahua, Carichic",23.634501,-102.552784,Mexico
30.3/ 2320,Santiago Ahuitzotla,23.634501,-102.552784,Mexico
DN/ 743,"Oaxaca, Etla",23.634501,-102.552784,Mexico
30.1/ 9481,Otumba,23.634501,-102.552784,Mexico
30.1/ 5904,Tlaltenango,23.634501,-102.552784,Mexico
30.3/ 336,"Jalisco, Chapala",23.634501,-102.552784,Mexico
MCAA/ 1021,Central Mexico,23.634501,-102.552784,Mexico
30.2/ 4823,"Sinaloa, San Lorenzo River, El Dorado",23.634501,-102.552784,Mexico
30.2/ 4537,"Veracruz, Topila, Cerro La Puerta",23.634501,-102.552784,Mexico
MCAA/ 0171,Michoacan,23.634501,-102.552784,Mexico
30 / 8812,"Oaxaca, Piedra Blanca",23.634501,-102.552784,Mexico
30.1/ 6445,Tlahuac,23.634501,-102.552784,Mexico
65 / 3013,"Jalisco, Axkeltan, Cerro De Colotlan",23.634501,-102.552784,Mexico
65 / 5029 H,"Buenos Aires, Puntarenas",9.748917,-83.753428,Costa Rica
30 / 1873,"Oaxaca, Yanhuitlan",23.634501,-102.552784,Mexico
99 / 312,"Chihuahua, Casas Grandes",23.634501,-102.552784,Mexico
30.1/ 6156 C,San Juan Ixtayopan,23.634501,-102.552784,Mexico
65 / 1250,"Chihuahua, Guajochic",23.634501,-102.552784,Mexico
MCAA/ 0212 C,Tamaulipas,23.634501,-102.552784,Mexico
30.1/ 6054,Tetelpan,23.634501,-102.552784,Mexico
MCAA/ 0127,"Jalisco, Lake Chapala",23.634501,-102.552784,Mexico
30.2/ 4733 Z07,"San Luis Potosi, Pujal",23.634501,-102.552784,Mexico
30 / 1613,"Guerrero, Chalchentepetl",23.634501,-102.552784,Mexico
30.2/ 3649,"Tamaulipas, Tampico District",23.634501,-102.552784,Mexico
MCAA/ 0579,Culhuacan,23.634501,-102.552784,Mexico
30.2/ 4539,Rio Tamasi,23.634501,-102.552784,Mexico
30.1/ 1569,Utila Island,15.199999,-86.241905,Honduras
30.2/ 4504,"Veracruz, Panuco Town",23.634501,-102.552784,Mexico
MCAA/ 0778 R,"Oaxaca, Lieza",23.634501,-102.552784,Mexico
30.2/ 5750,"Sonora, Mazatan",23.634501,-102.552784,Mexico
30.3/ 1527,"Oaxaca, Tehuantepec Area",23.634501,-102.552784,Mexico
30.0/ 77,Terrango,23.634501,-102.552784,Mexico
65 / 6035,Saltillo,23.634501,-102.552784,Mexico
30.1/ 6538,"Colima, Manzanillo, Salagoa, Playa De Los Monos",23.634501,-102.552784,Mexico
